Abeeb,Oladipupo,2345678912,6666,835354014,110000.0
Abeeb,Olanrewaju,550319024,1900,591366918,49500.0
Kelly,Gifty,2345678923,2345,707195081,45000.0
Cyril,Achabod,5980728384,1957,29951721,610476.0
Paul,abeeb,123456789,4321,364721095,48000.5
Sunmi,faruq,32323232,1234,33825061,96000.0
warris,bidemi,559025452,4321,928031690,0.0
Abeeb,Oladipupo,2345678912,6666,835354014,110000.0
Abeeb,Olanrewaju,550319024,1900,591366918,49500.0
Abeeb,Sunmi,550319023,5432,707195081,50000.0
Cyril,Achabod,5980728384,1957,29951721,610476.0
Paul,abeeb,123456789,4321,364721095,48000.5
Sunmi,faruq,32323232,1234,33825061,96000.0
warris,bidemi,559025452,4321,928031690,0.0
